Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,State_x,State_y,Latitude,Longitude
Puerto Rico,19775.0,3468963.0,40.1,12081.0,1543220.0,220597.0,72,Puerto Rico,18.2001,-66.6645
Alabama,46472.0,4850771.0,38.7,25746.0,849699.0,165391.0,01,Alabama,32.7794,-86.8287
Alaska,76114.0,738565.0,33.9,35065.0,73380.0,29548.0,02,Alaska,64.0685,-152.2782
Arizona,53510.0,6809946.0,37.2,27964.0,1128046.0,225911.0,04,Arizona,34.2744,-111.6602
Arkansas,43813.0,2977944.0,37.9,24426.0,524211.0,85128.0,05,Arkansas,34.8938,-92.4426
California,67169.0,38982847.0,36.1,33128.0,5773408.0,1491146.0,06,California,37.1841,-119.4696
Colorado,65458.0,5436519.0,36.5,34845.0,612143.0,152856.0,08,Colorado,38.9972,-105.5478
Connecticut,73781.0,3594478.0,40.8,41365.0,350783.0,140712.0,09,Connecticut,41.6219,-72.7273
District of Columbia,77649.0,672391.0,33.9,50832.0,111025.0,31279.0,11,District of Columbia,38.9101,-77.0147
Delaware,63036.0,943732.0,39.8,32625.0,111304.0,30245.0,10,Delaware,38.9896,-75.505
Florida,50883.0,20278447.0,41.8,28774.0,3070972.0,699117.0,12,Florida,28.6305,-82.4497
Georgia,52977.0,10201635.0,36.4,28015.0,1679030.0,372581.0,13,Georgia,32.6415,-83.4426
Hawaii,74923.0,1421658.0,38.8,32511.0,143148.0,34380.0,15,Hawaii,20.2927,-156.3737
Idaho,50985.0,1657375.0,35.9,25471.0,236000.0,42328.0,16,Idaho,44.3509,-114.613
Illinois,61229.0,12854526.0,37.7,32924.0,1698613.0,491310.0,17,Illinois,40.0417,-89.1965
Indiana,52182.0,6614418.0,37.5,27305.0,933540.0,202199.0,18,Indiana,39.8942,-86.2816
Iowa,56570.0,3118102.0,38.1,30063.0,361343.0,69018.0,19,Iowa,42.0751,-93.49600000000001
Kansas,55477.0,2903820.0,36.3,29600.0,361285.0,71009.0,20,Kansas,38.4937,-98.3804
Kentucky,46535.0,4424376.0,38.6,25888.0,783586.0,140717.0,21,Kentucky,37.5347,-85.3021
Maine,53024.0,1330158.0,44.3,29886.0,166904.0,36790.0,23,Maine,45.3695,-69.2428
Louisiana,46710.0,4663461.0,36.4,26205.0,887574.0,157186.0,22,Louisiana,31.0689,-91.9968
Massachusetts,74167.0,6789319.0,39.4,39913.0,727546.0,224856.0,25,Massachusetts,42.2596,-71.8083
Maryland,78916.0,5996079.0,38.5,39070.0,566966.0,198375.0,24,Maryland,39.055,-76.7909
Michigan,52668.0,9925568.0,39.6,28938.0,1510841.0,361624.0,26,Michigan,44.3467,-85.4102
Minnesota,65699.0,5490726.0,37.9,34712.0,560995.0,130510.0,27,Minnesota,46.2807,-94.3053
Mississippi,42009.0,2986220.0,36.9,22500.0,620007.0,117786.0,28,Mississippi,32.7364,-89.6678
Missouri,51542.0,6075300.0,38.4,28282.0,861679.0,175919.0,29,Missouri,38.3566,-92.458
Montana,50801.0,1029862.0,39.8,28706.0,144198.0,25076.0,30,Montana,47.0527,-109.6333
Nebraska,56675.0,1893921.0,36.3,29866.0,220330.0,38881.0,31,Nebraska,41.5378,-99.7951
New Hampshire,71305.0,1331848.0,42.7,36914.0,104470.0,33566.0,33,New Hampshire,43.6805,-71.5811
Nevada,55434.0,2887725.0,37.7,28450.0,405263.0,116285.0,32,Nevada,39.3289,-116.6312
New Jersey,76475.0,8960161.0,39.6,39069.0,938252.0,328167.0,34,New Jersey,40.1907,-74.6728
New Mexico,46718.0,2084828.0,37.3,25257.0,420293.0,73710.0,35,New Mexico,34.4071,-106.1126
New York,62765.0,19798228.0,38.4,35752.0,2908471.0,685368.0,36,New York,42.9538,-75.5268
North Carolina,50320.0,10052564.0,38.4,28123.0,1579871.0,352287.0,37,North Carolina,35.5557,-79.3877
North Dakota,61285.0,745475.0,35.1,34256.0,79374.0,11085.0,38,North Dakota,47.4501,-100.4659
Ohio,52407.0,11609756.0,39.3,29011.0,1683890.0,378735.0,39,Ohio,40.2862,-82.7937
Oklahoma,49767.0,3896251.0,36.3,26461.0,612714.0,105375.0,40,Oklahoma,35.5889,-97.4943
Oregon,56119.0,4025127.0,39.2,30410.0,587248.0,138139.0,41,Oregon,43.9336,-120.5583
Pennsylvania,56951.0,12790505.0,40.7,31476.0,1623537.0,422016.0,42,Pennsylvania,40.8781,-77.7996
Rhode Island,61043.0,1056138.0,39.9,33315.0,136126.0,38634.0,44,Rhode Island,41.6762,-71.5562
South Carolina,48781.0,4893444.0,39.0,26645.0,790657.0,170257.0,45,South Carolina,33.9169,-80.8964
South Dakota,54126.0,855444.0,36.8,28761.0,114885.0,17018.0,46,South Dakota,44.4443,-100.2263
Tennessee,48708.0,6597381.0,38.6,27277.0,1072360.0,210756.0,47,Tennessee,35.858000000000004,-86.3505
Texas,57051.0,27419612.0,34.3,28985.0,4291384.0,784888.0,48,Texas,31.4757,-99.3312
Utah,65325.0,2993941.0,30.5,26907.0,324856.0,64314.0,49,Utah,39.3055,-111.6703
Vermont,57808.0,624636.0,42.8,31917.0,68144.0,14969.0,50,Vermont,44.0687,-72.6658
Virginia,68766.0,8365952.0,38.0,36268.0,906838.0,236648.0,51,Virginia,37.5215,-78.8537
West Virginia,44061.0,1836843.0,42.2,24774.0,317089.0,57659.0,54,West Virginia,38.6409,-80.6227
Washington,66174.0,7169967.0,37.6,34869.0,859950.0,218821.0,53,Washington,47.3826,-120.4472
Wyoming,60938.0,583200.0,37.0,31214.0,63398.0,14459.0,56,Wyoming,42.9957,-107.5512
Wisconsin,56759.0,5763217.0,39.2,30557.0,692719.0,145271.0,55,Wisconsin,44.6243,-89.9941
